TextTweet,Compound Score,Sentiments
"it's better to study independently for an internship, yeah, campus internship semester",0.6249,Positif
student campuses are required to publish sinta index journals like that if it's semester,0.3612,Positif
"It's not your job to do it, don't be spoiled to help do it",0.4019,Positif
the practicum lecturer gives class meetings like saving them until graduation,0.3612,Positif
"alhamdulillah, life is given to include a college boarding house in Jakarta",0.0,Netral
"the mini thesis is a journal, aren't you surprised to get a mini thesis assignment, still don't know the thesis please have to sell it, give it another day, thanks",0.5475,Positif
"After the Sempro revision, Guidance for the Dosji Dospem III revision",0.0,Netral
"There is a scholarship for the sender's campus, accept exchange for self-funded plans to submit a proposal to help, thank you, friend, answer",0.875,Positif
lift already trial thesis,0.0,Netral
thank you for wanting to help,0.6369,Positif
"Brothers and sisters, you understand the grid, so please look at it, thank you",0.6696,Positif
"guys, if the footnote is already a bibliography, the reference to the footnote bibliography is enlightening, thanks",0.7351,Positif
not cat,0.0,Netral
"I confided last Monday, I read the lecturer's chat, I just re-chat, now I'm afraid I'm afraid of being read, but I haven't replied online, sometimes I read it, sometimes I read it back and forth, I can't see it online but I can't find any cont",0.0,Netral
"the sender registers for an apprenticeship, the sender hasn't graduated yet, if you have a CV, it's clear how you graduate",0.3818,Positif
"To be honest, asking doesn't matter if it makes you dizzy, you know",0.3239,Positif
"Isn't it really cool, guys, when asked about a thesis, it's like a spray, the progress is like that, okay, asking for help, it's better to focus, have it, don't care, cont",0.8588,Positif
need joki tugas trusted amanah fastwork amp fastrespon urgent pricelist drop,0.4215,Positif
"Guys, the committee is an organizational experience",0.0,Netral
when I bubble chat last night with the group but until the reply has been read,0.0,Netral
sometimes it's dosbing when we've revised but he's hard to find sad,-0.6956,Negatif
connect linkedin dm,0.0,Netral
"If the course is repeated, it means the semester is added",0.0,Netral
"to quote Maharani's journal, Eka Widiyati Putri Cantika, Jojo Suripto, how to write the Dapus page, thanks, sorry, please help",0.765,Positif
yeah,0.296,Positif
duty law oration text,0.0,Netral
"All that's left is to write a thesis with suggestions, please work hard so that you don't have to work at Bdg",0.2263,Positif
"it's urgent, sis, please give the laptop a discount or not",0.4767,Positif
"guys, if you say thank you, your friends' parents enter the prayer page between the two",0.6808,Positif
"Brothers and sisters, how do you determine the theme of the thesis, it's really dead-end",0.0,Netral
"Guys, help, do you know how to remove the input sentence for the table of contents at the beginning of the sub-chapter title sentence",0.5106,Positif
gais nanya be em in batch of uji coba trial uji,0.0,Netral
words of enthusiasm mention the name of a friend hehe thanks,0.8402,Positif
Semester students do not have independent curriculum thesis,0.0,Netral
make rpp sd trs my lecturer makes rpp thematic matpel if you still use thematic mathel books looking for material pictures it's okay sis,0.2263,Positif
ppg select the base why choose,0.0,Netral
"can you guide me through the semester, what to do when I meet the lecturer, I'm so excited, aaa",0.4795,Positif
sender uas matkul the hardest sender prayer have a nice day y'all,0.4215,Positif
pay,-0.1027,Negatif
"I'm tired of seeing my friend's group when discussing clothes that gerceps appear when asked to discuss proposals, they disappear",-0.5859,Negatif
"Friends asked, the test acc was finished, it was complicated, directly about the revisions",0.4767,Positif
buy a laptop charger asus service center not range in price,0.0,Netral
guys sender spray the prayers of college friends,0.4767,Positif
"friendly reminder if you're busy taking care of your studies, this is a sign for you, children of the rantau & boarding house to clean the rice cooker",0.8442,Positif
"guys, on vacation, looking for an apprentice, ahhh, I don't know, people don't know, hikss",0.0,Netral
part time taking care of the shop using compassion as greetings when applying for an internship because the part time sender takes care of the shop can't ukm online seminars like that looking for media share actively like that,0.9623,Positif
independent ppg cost range,0.0,Netral
"Sender has taken a holiday to think about the title of the thesis, which is sad",-0.1027,Negatif
"when I go home after Sunday, if I save the laptop, I put it in a good boarding house",0.7269,Positif
guys help like comment video sender send youtube link comment dm thank you,0.7717,Positif
"Suggestions for online English courses are good if the testimonials are in the price range, thanks guys",0.7003,Positif
"If the thesis data is falsified a little bit, it's safe or not, it's too late, it's hard to find respondents",-0.0935,Negatif
there is new oriental restaurant in town isn it salah nyata,0.0,Netral
"where to look for us patents, guys",0.0,Netral
"I just chatted, the lecturer asked for guidance, what time did the lecturer chat in the morning, I thought Friday was a short morning chat in the morning",0.0,Netral
There is an understanding of Kumer's diagnostic assessment,0.0,Netral
consultation,0.0,Netral
"guys, choose polite language, the context of the chat, the respondent, the teacher, the meeting, the consultation, the meeting, cont",0.0,Netral
download scribd book,0.0,Netral
"University of North Sumatra students, don't worry, please download in sender file repository, thank you, have a nice day",0.695,Positif
colle better move tia,0.7351,Positif
kitchen mini fridge moving cheap boarding house prices for facilities km kitchen wardrobe bed wifi if you use the refrigerator you leave the house owned by minutes city campus access to food is rather difficult for residents cont,-0.4019,Negatif
need advice from sending motorbikes for girls to live in boarding houses near the campus near the city access looking for food on foot moving because my boarding house is now full price anyway you are in wifi bed cupboard table cont,0.0,Netral
"As an overseas student, I experienced culture shock when I met people from different ethnicities, from the perspective of communication behavior and mindset",-0.3818,Negatif
outside care,0.4939,Positif
please no salty it's normal that the thesis is really the communication phase of the family of a friend who raises the fate of a friend's thesis to discuss play thesis and discuss cont,0.6908,Positif
edit using canva hp,0.0,Netral
sender needs to give advice on the title of the mini research sender went the wrong way to the end of the boomerang,-0.4767,Negatif
How do you unlock the Gartis coursehero document?,0.0,Netral
the automatic handwriting application website,0.0,Netral
quiz the head hurts really strong wake up nauseous nauseous huhu it's okay quiz is afraid of campus,0.3384,Positif
"student boarding house near campus, class hours, how many hours to shower, how many hours",0.0,Netral
"ges uas reference statistical data, so it's difficult if the possible questionnaire is included in the uas paper",-0.4173,Negatif
"The campus for the thesis session wears a hijab, like Gin Sender's plan to wear a black pashmina, so it's as formal as the hijab style cr pint",0.3612,Positif
"guys, you know the price sub-indicator for sender stuck books",-0.25,Negatif
"Guys, if the motorbike is left on Sundays, is it okay to plan for a college holiday service, put it in a boarding house, get confused, leave me some tips or not",0.2732,Positif
saran agar test toefl basic,0.0,Netral
list of independent star scholarships what to build,0.0,Netral
ready to fill out my questionnaire requirements for active students studying full part time dm tia,0.8176,Positif
"Management students, if you make a mini research related title, yesterday the sender made the wrong title for the final assignment per group",-0.4767,Negatif
